project/feature,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
15,0.038807415292018,0.006376245691455,0.027803290328059,0.038807415292018,0.048963085369936,0.038807415292018,0.030895840004531,0.038807415292018,0.038807415292018,0.014370644254687,0.054776465853719,0.006010601451201,0.038807415292018,0.015114804813507,0.038807415292018,0.013068758222479,0.013068758222479,0.038155309645458,0.041541497240314,0.035411946693229,0.352305236546006
16,0.079235992564635,0.009411284084112,0.017075813271422,0.069985885685865,0.114944406119636,0.067268998327482,0.010443466404058,0.086965293157363,0.064141708052679,0.033078753874131,0.118256171594801,0.03882872062709,0.054369480953397,0.026217087121814,0.077930946390401,0.008007240053887,0.015771476954065,0.069309641610064,0.074556063428807,0.063879667511494,0.510787822954013
17,0.17313077788817,0.158914337884919,0.021111458942996,0.122669222784474,0.224046945643317,0.191927345932359,0.095164169843248,0.151826641933622,0.145280046309386,0.101800841860607,0.230452239020391,0.142115179745213,0.138195426577336,0.120415288213815,0.153678045874624,0.133616733427493,0.153716152845908,0.130078818049975,0.183809091754437,0.142316110200204,0.915825329537717
18,0.187325153526609,0.054095158092916,0.009897333406502,0.110225503606975,0.162287184867822,0.167631738059942,0.10512453722746,0.135514913574036,0.129803269621518,0.089541914067676,0.176694227558318,0.121525877024288,0.14531955870464,0.041161978104434,0.147370164141007,0.042742727618783,0.057659179602178,0.062827944265148,0.133960013127376,0.095147955537105,0.803415848070755
19,0.190848556918795,0.05065811219589,0.015116956671709,0.114884577371445,0.224720486020542,0.167548436363427,0.097385349759425,0.143912324976553,0.131526588818863,0.078706464934258,0.203708333884071,0.112778247909047,0.151544609237361,0.049726377398342,0.177041920443995,0.065725728931994,0.064472763314537,0.078866661105255,0.164398959749973,0.128648741462997,0.816318722674946
20,0.108613634637849,0.028682485138617,0.010045850136547,0.093932229228664,0.15044299322659,0.113019264983146,0.094178614351519,0.103808323361979,0.115891178779848,0.052390895674471,0.114099855732545,0.051145377127946,0.082618915776211,0.026192534031636,0.116010473844197,0.029815264196633,0.044067456778551,0.05490095862801,0.094890653026209,0.063816208122274,0.559601310539102
21,0.01706823274991,0.006794439384828,0.002408346415516,0.019214681673931,0.025016233291983,0.01732064671968,0.01248559581816,0.01923383462838,0.01973249487864,0.009048588419578,0.012851141441232,0.003454273302286,0.020362098347621,0.005889619388747,0.01706823274991,0.003234924587117,0.009869922410896,0.007173110975561,0.007643541529755,0.0081346438322,0.154481332375011
22,0.198613986256789,0.37193296082863,0.0280560996711,0.18466749820611,0.172631036183387,0.214570981154145,0.22478750958936,0.172631036183387,0.152007283805627,0.052916054991866,0.228538143953528,0.122600338640027,0.228538143953528,0.27684596668473,0.18466749820611,0.0280560996711,0.0280560996711,0.425380910993667,0.228538143953528,0.228538143953528,0.76420450650862
23,0.183300352973645,0.034376677487229,0.054734733832899,0.201759853757376,0.162435334268449,0.164624746085043,0.149553527942661,0.148443572922525,0.199412435206583,0.069800261879311,0.155516513454706,0.196549307703182,0.071969320698598,0.058920233335265,0.093198738192298,0.038479418628629,0.038479418628629,0.082499067285638,0.132829753748869,0.137691031393901,0.814200068454958
24,0.421595214786856,0.033734839054805,0.107644853479619,0.255418648370541,0.31430321695897,0.311918524085941,0.173256784101564,0.301599249812029,0.321860405264705,0.124587901689596,0.220461694748475,0.141300190109981,0.188267966028269,0.117527492835021,0.198029446365211,0.039778469831835,0.057874604676251,0.100802615636603,0.148608876651065,0.121245185699348,0.924290979528141
25,0.123534273944003,0.081680940643595,0.049365330469106,0.185725209044108,0.109142618922447,0.091048966935729,0.166361879710011,0.122896940526458,0.149088272753078,0.080576655871383,0.103734207018829,0.152203649019136,0.071392013657837,0.094696196336751,0.094638941213402,0.118465533506199,0.134191484927272,0.092457755931279,0.096859073560027,0.080610179361959,0.930758162889964
26,0.225040610425665,0.042809300151945,0.060309973050826,0.118159314355167,0.228492535852236,0.152935282267824,0.071122657456199,0.171837379723144,0.192459427611005,0.126776177444315,0.16819423918863,0.107797674947691,0.106452893026552,0.055966383998359,0.154373594871811,0.057580767479399,0.080180918412425,0.096408199296524,0.078956868843124,0.094957686269919,0.996791631981637
27,0.171100285751061,0.058511442890604,0.026440795094807,0.117236377587187,0.17454013307302,0.122309648343384,0.050470303086268,0.157081596245064,0.17282978407017,0.073541119383924,0.177867548986271,0.085049341102832,0.116920549958997,0.044883779456423,0.100790585132069,0.046525582755606,0.066923397193824,0.096888628460113,0.061860428425567,0.046122976591367,0.980032193092514
